Rank,Who,Number of participations,Score,Level
567,chenmark,120,2290,Master
567,TooDumbToWin,98,2290,Master
567,edisonhello,55,2290,Master
567,sava-cska,48,2290,Master
571,Milanin,116,2289,Master
571,SirRembocodina,109,2289,Master
571,hello,17,2289,Master
574,RemiliaScarlet,43,2288,Master
574,zhouzhendong,18,2288,Master
574,SheepRanger,22,2288,Master
574,mmkh,16,2288,Master
578,-wawawa8,23,2287,Master
578,ez_cjb,7,2287,Master
578,Wzp_AK_all_the_contest,10,2287,Master
581,komendart,74,2286,Master
581,boook,63,2286,Master
583,catupper,98,2285,Master
583,dreamoon_love_AA,244,2285,Master
583,mateusz,50,2285,Master
583,Lollipop,49,2285,Master
583,ngk,53,2285,Master
583,minibowser,3,2285,Master
589,jiangshibiao,20,2284,Master
589,AminAnvari,108,2284,Master
589,Vergara,50,2284,Master
589,beginend,24,2284,Master
589,erfanesm,32,2284,Master
589,skydog,25,2284,Master
589,Marckess,42,2284,Master
596,fram,56,2283,Master
596,423555290,31,2283,Master
596,nikgaevoy,15,2283,Master
599,yummy,40,2282,Master
599,TsReaper,14,2282,Master
599,archie_fake,5,2282,Master
602,KungA,142,2281,Master
602,azneyes,167,2281,Master
602,was_n,8,2281,Master
605,jinzhihan,17,2280,Master
605,AwesomeGuy,6,2280,Master
607,cescmentation_folch,38,2278,Master
607,relativity,23,2278,Master
609,Tsuare,22,2276,Master
610,jsannemo,14,2275,Master
610,lhy526620793,9,2275,Master
612,lydrainbowcat,35,2274,Master
613,falanga,67,2273,Master
613,muratt,81,2273,Master
613,Arturgo,41,2273,Master
616,Kurpilyansky,79,2272,Master
616,the_art_of_war,39,2272,Master
616,orzwaz,12,2272,Master
619,tmt514,65,2271,Master
619,krock21,53,2271,Master
619,Iscream2001,9,2271,Master
622,Seyaua,60,2270,Master
622,StillBlueSkyOverhead,82,2270,Master
622,queryquerynk,3,2270,Master
622,linsanity,6,2270,Master
626,Diego1149,28,2269,Master
626,yybyyb,21,2269,Master
626,alonefight,18,2269,Master
629,tmw168_orz,9,2268,Master
629,MAMBA,36,2268,Master
629,nicklu0,7,2268,Master
629,IndianICPC-Joke.,7,2268,Master
633,hzq84621,33,2267,Master
634,KhaustovPavel,99,2266,Master
634,kobortor,28,2266,Master
636,Farhod_Farmon,147,2265,Master
636,SamuraiBebop,3,2265,Master
